spk_id,log_f0_rmse,stft_l2_dist,vuv_error
7367,0.073,0.872,15
7383,0.088,0.824,7
7384,0.097,0.823,7
7395,0.098,0.864,9
7398,0.101,0.895,8
7402,0.082,0.87,10
7416,0.094,0.894,11
7434,0.085,0.886,8
7437,0.137,0.878,9
7445,0.096,0.87,8
7447,0.071,0.855,13
7460,0.111,0.867,13
7475,0.114,0.846,13
7478,0.115,0.787,8
7481,0.117,0.865,13
7484,0.101,0.848,11
7495,0.065,0.87,6
7498,0.102,0.897,8
7505,0.092,0.853,10
7511,0.088,0.845,8
7515,0.091,0.896,11
7517,0.079,0.903,10
7518,0.143,0.969,14
7520,0.092,0.826,9
7525,0.081,0.875,9
7538,0.113,0.831,9
7540,0.069,0.878,17
7553,0.086,0.839,11
7555,0.097,0.875,11
7558,0.059,0.822,7
7569,0.121,0.831,10
7594,0.093,0.87,8
7635,0.089,0.798,6
7647,0.076,0.834,10
7657,0.083,0.872,7
7665,0.131,0.825,11
7688,0.115,0.858,9
7704,0.108,0.919,12
7705,0.101,0.838,8
7717,0.083,0.899,10
7720,0.119,0.817,10
7729,0.077,0.83,15
7730,0.078,0.897,6
7732,0.1,0.824,9
7733,0.08,0.878,8
7739,0.081,0.883,8
7752,0.077,0.878,7
7754,0.099,0.86,8
7766,0.094,0.901,7
7777,0.068,0.842,14
7780,0.08,0.885,8
